chr	windowStart	windowEnd	D	f_d	f_dM	d_f
CM014757.1	402160	414636	0.019880	0.025229	0.008956	0.004243
CM014757.1	408640	420940	-0.095775	-0.121697	-0.038976	-0.012128
CM014757.1	414647	426827	-0.075283	-0.093577	-0.033411	-0.015872
CM014757.1	420958	434196	0.069500	0.097059	0.040721	0.022518
CM014757.1	426919	440997	0.071323	0.100975	0.045098	0.026715
CM014757.1	434209	446883	-0.041125	-0.044031	-0.022042	-0.003709
CM014757.1	441002	453846	-0.085172	-0.084156	-0.036301	-0.017195
CM014757.1	446897	466394	0.021575	0.016285	0.005906	0.002814
CM014757.1	453958	472273	0.048261	0.028473	0.009619	0.003059
CM014757.1	466449	483795	0.008040	0.006234	0.001677	0.000388
CM014757.1	472455	496078	0.000363	0.000360	0.000081	-0.000858
CM014757.1	483969	506573	0.111480	0.072133	0.024694	0.016462
CM014757.1	496490	514430	0.097815	0.077796	0.024127	0.016390
CM014757.1	506651	522560	-0.062603	4.139788	-0.016674	-0.001695
CM014757.1	514472	533028	-0.211379	0.289666	-0.038402	-0.010754
CM014757.1	522578	545716	-0.253191	-3.590003	-0.036925	-0.017022
CM014757.1	533069	558331	-0.134233	-0.166707	-0.023129	-0.013139
CM014757.1	546024	567724	-0.066548	-0.139445	-0.014421	-0.006105
CM014757.1	558790	577331	0.037318	0.061141	0.013461	0.013396
CM014757.1	568216	587556	0.045116	0.056144	0.021507	0.012122
CM014757.1	577342	596324	-0.092937	-0.221037	-0.035100	-0.020883
CM014757.1	587670	605592	-0.148112	-0.967509	-0.053296	-0.033576
CM014757.1	597061	611120	-0.024402	-0.042854	-0.008006	-0.011446
CM014757.1	605612	619109	-0.041834	-0.072905	-0.011337	-0.014700
CM014757.1	611207	626628	-0.073063	-0.155773	-0.021429	-0.016290
CM014757.1	619162	633399	0.061978	0.064256	0.030490	0.015421
CM014757.1	626848	639603	0.061781	0.062225	0.029784	0.024916
CM014757.1	633422	645488	0.030393	0.033815	0.010328	0.012683
CM014757.1	639782	650857	0.016818	0.021602	0.006502	0.010966
CM014757.1	645512	654914	0.088210	0.119540	0.048972	0.030173
CM014757.1	650927	662497	-0.011826	-0.020131	-0.006514	-0.006690
CM014757.1	655409	671003	-0.189784	-1.909167	-0.079754	-0.033988
CM014757.1	662561	680408	-0.164814	-1.188179	-0.053118	-0.022936
CM014757.1	671141	684222	-0.067727	-0.089214	-0.030699	-0.019557
CM014757.1	680681	688806	-0.096895	-0.136350	-0.048969	-0.043491
CM014757.1	684235	696475	-0.115282	-0.156535	-0.035484	-0.024066
CM014757.1	688978	734749	0.022520	0.015609	0.006386	-0.000067
CM014757.1	696598	759562	0.041448	0.049222	0.013374	0.007343
CM014757.1	734846	768155	-0.013218	-0.023067	-0.004457	-0.002879
CM014757.1	759579	774454	-0.021131	-0.017959	-0.007848	-0.006422
CM014757.1	768183	780236	-0.039700	-0.047370	-0.018787	-0.010022
CM014757.1	774558	787392	-0.078203	-0.196147	-0.040124	-0.019924
CM014757.1	780281	794117	-0.131455	-0.214120	-0.068696	-0.032346
CM014757.1	787671	799659	-0.056865	-0.049757	-0.027881	-0.009207
CM014757.1	794321	803756	-0.023181	-0.017482	-0.010698	-0.007821
CM014757.1	799693	812458	-0.095659	-0.111319	-0.046205	-0.020475
CM014757.1	803770	819469	-0.107466	-0.187686	-0.039606	-0.024262
CM014757.1	812677	826116	-0.201692	-0.301704	-0.068886	-0.061183
CM014757.1	819481	832363	-0.173282	-0.196924	-0.069882	-0.056720
CM014757.1	826157	838072	-0.107280	-0.093885	-0.040361	-0.037218
CM014757.1	832377	843657	-0.076274	-0.083488	-0.031461	-0.024626
CM014757.1	838122	851769	-0.103148	-0.157655	-0.044346	-0.022691
CM014757.1	843701	858727	-0.033894	-0.066934	-0.012876	-0.005686
CM014757.1	852031	864969	0.024822	0.035116	0.009927	-0.000172
CM014757.1	858797	871221	-0.059867	-0.049365	-0.020143	-0.013606
CM014757.1	865004	878885	-0.081854	-0.064517	-0.028955	-0.017703
CM014757.1	871498	892701	-0.042373	-0.031931	-0.014518	-0.009818
CM014757.1	878896	897663	0.038041	0.029943	0.014183	0.001222
CM014757.1	892783	907122	0.081833	0.085867	0.039355	0.009141
CM014757.1	897818	914295	0.086033	0.134247	0.037654	0.016798
CM014757.1	907136	925811	0.029600	0.037193	0.010401	0.009705
CM014757.1	914514	933047	0.030119	0.045011	0.010911	0.011684
CM014757.1	925898	937933	-0.077747	-0.926708	-0.031840	-0.016146
CM014757.1	933069	942547	-0.284649	0.922965	-0.124645	-0.058170
CM014757.1	937943	947200	-0.261139	0.651699	-0.150647	-0.052044
CM014757.1	942583	954613	-0.051075	-0.139307	-0.023686	-0.011055
CM014757.1	947233	960455	0.096534	0.117358	0.035361	0.030912
CM014757.1	954704	966943	-0.043721	-0.093164	-0.015509	-0.015997
CM014757.1	960512	971187	0.125503	0.158385	0.051948	0.050069
CM014757.1	966985	975002	0.210859	0.217541	0.085592	0.062901
CM014757.1	971234	984650	-0.072913	-0.084003	-0.022108	-0.022240
CM014757.1	975005	990896	-0.070322	-0.104602	-0.021929	-0.019350
CM014757.1	984660	998328	-0.072219	-0.353130	-0.025658	-0.012422
CM014757.1	991100	1006225	0.031089	0.054487	0.010656	0.007159
CM014757.1	998470	1015206	0.084894	0.127626	0.032127	0.017903
CM014757.1	1006265	1020136	0.117934	0.131444	0.048067	0.020101
CM014757.1	1015327	1024676	0.193334	0.164144	0.069603	0.043056
CM014757.1	1020175	1030635	0.094731	0.112888	0.035990	0.018083
CM014757.1	1024704	1039018	-0.050639	-0.050309	-0.024232	-0.020568
CM014757.1	1031281	1044666	0.029429	0.033445	0.013930	0.005327
CM014757.1	1039418	1051441	0.187158	0.270717	0.069635	0.040480
CM014757.1	1044717	1058975	0.053780	0.088737	0.022186	0.009143
CM014757.1	1051514	1065179	-0.193347	-0.724716	-0.092482	-0.038078
CM014757.1	1059024	1074203	-0.131657	-0.152166	-0.056635	-0.047652
CM014757.1	1065277	1079896	0.032452	0.026547	0.014812	0.013837
CM014757.1	1074398	1086378	0.111341	0.108367	0.053739	0.044892
CM014757.1	1080092	1092360	0.195362	0.186754	0.078495	0.057289
CM014757.1	1086492	1101885	0.190795	0.152596	0.054318	0.033767
CM014757.1	1092431	1115188	0.101951	0.081972	0.029593	0.024195
CM014757.1	1101918	1125969	0.058031	0.054742	0.019559	0.012965
CM014757.1	1115734	1131903	0.138340	0.125327	0.045634	0.016577
CM014757.1	1126549	1140017	0.207459	0.169021	0.072217	0.025872
CM014757.1	1131928	1148625	0.026338	0.026624	0.008431	0.004915
CM014757.1	1140347	1160510	0.026501	0.032124	0.010768	0.003784
CM014757.1	1148685	1169524	0.081561	0.064762	0.031843	0.024795
CM014757.1	1160635	1178510	0.046513	0.036481	0.015869	0.008493
CM014757.1	1172157	1186244	0.039673	0.115965	0.017189	0.004689
CM014757.1	1178549	1192801	-0.065196	0.903737	-0.024411	-0.008804
CM014757.1	1186331	1201598	-0.118155	-0.196747	-0.042728	-0.020033
CM014757.1	1192816	1209229	-0.162079	-0.280069	-0.061312	-0.037700
CM014757.1	1201729	1213867	-0.167849	-1.679772	-0.066266	-0.034734
CM014757.1	1209278	1220847	-0.011962	-0.024563	-0.005131	0.002578
CM014757.1	1213970	1227290	0.078279	0.094082	0.036536	0.027925
CM014757.1	1221152	1237842	0.054144	0.051502	0.020535	0.010226
CM014757.1	1227315	1243794	-0.071942	-0.126986	-0.022248	-0.016976
CM014757.1	1237868	1251680	-0.122248	0.448224	-0.042329	-0.018610
CM014757.1	1243964	1258983	-0.012512	-0.032531	-0.005287	-0.010568
CM014757.1	1251741	1264225	-0.084669	-0.628531	-0.042729	-0.019135
CM014757.1	1258999	1274726	-0.185691	-0.396788	-0.063694	-0.029735
CM014757.1	1264257	1281173	-0.193843	-0.223595	-0.065544	-0.044003
CM014757.1	1274997	1286486	-0.167641	-0.752743	-0.100409	-0.046937
CM014757.1	1281427	1291969	-0.031292	-0.063452	-0.021856	-0.003851
CM014757.1	1286507	1297275	0.103889	0.117555	0.066153	0.040730
CM014757.1	1292144	1302742	0.059478	0.078509	0.026818	0.011265
CM014757.1	1297441	1311239	0.090701	0.101622	0.032799	0.014232
CM014757.1	1303062	1315107	0.154674	0.158750	0.081189	0.033301
CM014757.1	1311290	1321063	0.056566	0.088829	0.043013	0.015121
CM014757.1	1315157	1327520	0.021794	0.033265	0.013619	0.009333
CM014757.1	1321092	1336569	-0.006981	-0.008386	-0.003161	0.001438
CM014757.1	1327615	1343758	-0.071145	-0.064224	-0.029163	-0.014294
CM014757.1	1336598	1349830	-0.019958	-0.016026	-0.009327	-0.005634
CM014757.1	1343953	1356963	0.087327	0.098241	0.041731	0.019765
CM014757.1	1349909	1366583	0.138518	0.150047	0.056088	0.027908
CM014757.1	1357124	1374413	-0.031628	-0.034520	-0.011328	-0.014859
CM014757.1	1366661	1379010	-0.087917	-0.103340	-0.032828	-0.021993
CM014757.1	1374572	1383255	-0.128939	-0.372444	-0.054304	-0.022501
CM014757.1	1379045	1388470	-0.250373	2.482381	-0.112991	-0.059801
CM014757.1	1383292	1393964	-0.022824	-0.082788	-0.010933	-0.005757
CM014757.1	1388481	1404192	0.065743	0.133426	0.028354	0.018016
CM014757.1	1394176	1408807	0.018129	0.035968	0.007650	0.002384
CM014757.1	1404336	1413943	0.085557	0.153199	0.039931	0.018303
CM014757.1	1408843	1419105	0.012987	0.019916	0.006393	-0.002666
CM014757.1	1414022	1426656	-0.061294	-0.093946	-0.033444	-0.029432
CM014757.1	1419125	1434509	0.015706	0.022576	0.008130	0.003489
CM014757.1	1426724	1441273	0.017875	0.026310	0.008114	0.013324
CM014757.1	1434537	1451502	-0.039748	-0.045697	-0.012211	-0.008932
CM014757.1	1441868	1457072	-0.034871	-0.055526	-0.010506	-0.015306
CM014757.1	1451531	1465911	-0.072792	-0.123009	-0.024554	-0.019652
CM014757.1	1457519	1471803	-0.157157	-0.265667	-0.055848	-0.031349
CM014757.1	1465960	1477176	-0.112881	-0.252919	-0.052860	-0.023167
CM014757.1	1471879	1484662	-0.002970	-0.003716	-0.001416	-0.004773
CM014757.1	1478225	1494931	-0.042416	-0.062894	-0.018599	-0.013644
CM014757.1	1484922	1504421	-0.158266	-0.368671	-0.058784	-0.027876
CM014757.1	1495016	1511204	-0.083748	-0.107816	-0.029323	-0.011399
CM014757.1	1504434	1516070	0.036342	0.039220	0.016411	0.014388
CM014757.1	1511332	1522659	-0.081941	-0.119945	-0.032906	-0.013477
CM014757.1	1516836	1528236	-0.161028	-0.368951	-0.055440	-0.028545
CM014757.1	1522710	1533815	0.026075	0.086323	0.012785	0.006533
CM014757.1	1528254	1544882	0.108124	0.975324	0.051252	0.020413
CM014757.1	1533899	1557235	-0.050839	-0.410561	-0.021160	-0.011904
CM014757.1	1544905	1563617	-0.099854	-0.190188	-0.050190	-0.024503
CM014757.1	1558000	1569093	-0.087098	-0.148103	-0.045878	-0.016382
CM014757.1	1563680	1580319	-0.052884	-0.066392	-0.025780	-0.009414
CM014757.1	1569160	1587531	-0.020380	-0.025679	-0.009330	-0.008711
CM014757.1	1580375	1594357	-0.004153	-0.005763	-0.002033	-0.002696
CM014757.1	1587611	1602947	-0.044667	-0.273126	-0.017050	-0.007527
CM014757.1	1594384	1606842	0.071672	0.353788	0.030869	0.020390
CM014757.1	1602971	1613179	0.106069	0.147620	0.054502	0.036006
CM014757.1	1606872	1618261	-0.041978	-0.073811	-0.023168	-0.007346
CM014757.1	1613312	1624258	-0.003425	-0.006309	-0.002231	-0.001221
CM014757.1	1618310	1630947	0.021993	0.032118	0.011083	0.003634
CM014757.1	1624285	1636501	-0.079819	-0.099006	-0.036534	-0.021513
CM014757.1	1631137	1643259	-0.103360	-0.100462	-0.047626	-0.031604
CM014757.1	1636519	1650755	-0.022532	-0.021429	-0.008751	-0.013357
CM014757.1	1643441	1658027	0.093607	0.065454	0.029396	0.019954
CM014757.1	1651018	1662077	0.087926	0.092759	0.039137	0.027410
CM014757.1	1658116	1673555	0.013155	0.014720	0.004565	0.005416
CM014757.1	1662097	1678822	-0.026530	-0.024830	-0.008895	-0.002877
CM014757.1	1673885	1685854	-0.010714	-0.011981	-0.005911	0.001333
CM014757.1	1679005	1694111	0.062251	0.065762	0.032147	0.020845
CM014757.1	1685890	1697926	0.075726	0.115789	0.043230	0.021655
CM014757.1	1694122	1705237	0.003510	0.004875	0.002131	0.002423
CM014757.1	1697997	1712682	-0.009412	-0.007671	-0.003971	-0.001749
CM014757.1	1705405	1719140	-0.035055	-0.035152	-0.014813	-0.008514
CM014757.1	1713743	1726579	-0.015410	-0.020111	-0.009200	-0.011257
CM014757.1	1719184	1731555	0.073844	0.097055	0.041828	0.021561
CM014757.1	1726603	1737525	0.068982	0.113512	0.035435	0.024491
CM014757.1	1731738	1745157	-0.002986	-0.002944	-0.001255	0.000257
CM014757.1	1737549	1748780	0.059235	0.047293	0.022600	0.006615
CM014757.1	1745190	1755123	0.089324	0.070821	0.031822	0.013380
CM014757.1	1748902	1762877	0.078123	0.074101	0.033075	0.016401
CM014757.1	1755213	1772345	0.175394	0.235300	0.113601	0.048185
CM014757.1	1762887	1778380	0.011249	0.019524	0.007076	-0.000817
CM014757.1	1772417	1785496	-0.207950	-0.886727	-0.105676	-0.048441
CM014757.1	1778400	1792092	-0.166413	-8.269557	-0.070504	-0.022439
CM014757.1	1785927	1800015	0.102222	0.141834	0.031517	0.019043
CM014757.1	1792152	1807943	0.249543	0.207428	0.091441	0.063164
CM014757.1	1800535	1813160	0.072385	0.083984	0.028008	0.009111
CM014757.1	1807950	1818428	-0.015008	-0.021747	-0.005521	-0.003722
CM014757.1	1813782	1824442	0.162292	0.126957	0.070514	0.029223
CM014757.1	1818539	1836804	0.128046	0.070280	0.037434	0.022097
CM014757.1	1824604	1845436	0.025339	0.016755	0.006904	0.005759
CM014757.1	1836895	1851527	0.016821	0.014454	0.006136	0.003761
CM014757.1	1845603	1857848	0.264894	0.203803	0.111713	0.083193
CM014757.1	1851546	1861789	0.294647	0.268714	0.110594	0.094530
CM014757.1	1857885	1867552	-0.035803	-0.066532	-0.014948	0.000126
CM014757.1	1861808	1874070	-0.162283	1.323323	-0.069913	-0.024587
CM014757.1	1867597	1881037	-0.160543	0.369149	-0.058283	-0.025036
CM014757.1	1874080	1885876	-0.011130	-0.053733	-0.004630	-0.002768
CM014757.1	1881172	1891601	0.011114	0.022890	0.005102	0.002447
CM014757.1	1885918	1897940	-0.068716	-0.166601	-0.035548	-0.018216
CM014757.1	1891639	1904994	-0.188405	-1.161257	-0.093766	-0.052188
CM014757.1	1898035	1910531	-0.128678	-0.182795	-0.038447	-0.031691
CM014757.1	1905047	1920819	0.018171	0.020605	0.006188	0.007842
CM014757.1	1910541	1927830	0.091542	0.149689	0.049264	0.026768
CM014757.1	1920878	1947715	0.138607	0.141439	0.060020	0.032128
CM014757.1	1942480	1954179	-0.038745	-0.051296	-0.015011	-0.007293
CM014757.1	1947756	1964106	-0.079760	-0.164690	-0.030064	-0.015335
CM014757.1	1954281	1988706	-0.098660	-0.146648	-0.033690	-0.012263
CM014757.1	1964139	1996332	-0.340138	-1.482193	-0.141574	-0.042627
CM014757.1	1988766	2020975	-0.345502	-2.603718	-0.138280	-0.057741
CM014757.1	1996502	2026384	-0.089340	-0.162672	-0.030508	-0.017778
CM014757.1	2021029	2033422	-0.101726	-0.324296	-0.046420	-0.033538
CM014757.1	2026467	2039111	-0.071312	-0.119974	-0.033498	-0.019617
CM014757.1	2033432	2045793	0.089415	0.102654	0.038204	0.021228
CM014757.1	2039292	2052101	0.163397	0.162603	0.076600	0.037463
CM014757.1	2046184	2059403	0.079987	0.076175	0.031066	0.016706
CM014757.1	2052187	2066155	-0.083205	-0.148747	-0.035381	-0.026498
CM014757.1	2059511	2071601	-0.059429	-0.186622	-0.030199	-0.017145
CM014757.1	2066165	2078085	-0.017166	-0.031972	-0.008109	0.000548
CM014757.1	2071620	2083658	-0.000065	-0.000132	-0.000033	0.003638
CM014757.1	2078277	2088362	-0.042909	-0.060722	-0.016330	-0.004165
CM014757.1	2083841	2094934	0.018259	0.011691	0.006231	0.007004
CM014757.1	2088673	2101679	-0.002486	-0.001818	-0.000934	-0.000187
CM014757.1	2094962	2110389	-0.020806	-0.015226	-0.006819	-0.004036
CM014757.1	2101903	2116740	-0.086377	-0.070199	-0.031868	-0.019207
CM014757.1	2110473	2120728	-0.101900	-0.196305	-0.048779	-0.022083
CM014757.1	2116792	2129002	-0.086361	-0.308206	-0.037137	-0.017896
CM014757.1	2120868	2136834	-0.202641	1.920664	-0.062047	-0.056139
CM014757.1	2129017	2145330	-0.243311	5.600111	-0.060276	-0.052855
CM014757.1	2136932	2152878	0.000745	0.001003	0.000211	0.002006
CM014757.1	2145349	2161886	0.244509	0.237116	0.074810	0.055030
CM014757.1	2152933	2167191	0.049474	0.059787	0.017302	0.014612
CM014757.1	2161969	2174023	-0.187583	-0.470301	-0.104019	-0.055134
CM014757.1	2167268	2192579	-0.261591	0.650158	-0.061256	-0.044196
CM014757.1	2174037	2203783	-0.270203	0.751076	-0.039192	-0.020139
CM014757.1	2192881	2209800	-0.230210	-0.409243	-0.074037	-0.026341
CM014757.1	2203794	2217758	-0.054592	-0.238927	-0.016600	-0.009258
CM014757.1	2210011	2228548	0.054421	0.148283	0.014633	0.015319
CM014757.1	2217878	2239896	0.009538	0.007451	0.002742	-0.001316
CM014757.1	2228748	2246576	0.009588	0.009723	0.002265	0.004506
CM014757.1	2240006	2254896	0.113445	0.203369	0.027492	0.019815
CM014757.1	2246614	2261089	0.088694	0.137962	0.033681	0.013088
CM014757.1	2255214	2267826	-0.102003	-1.251175	-0.058225	-0.018488
CM014757.1	2261222	2270443	-0.043409	-0.120651	-0.027839	-0.000995
CM014757.1	2267862	2279228	0.058918	0.038844	0.022775	0.014775
CM014757.1	2270469	2288050	-0.053529	-0.031386	-0.019766	-0.008769
CM014757.1	2279353	2294364	-0.082044	-0.079526	-0.048871	-0.026766
CM014757.1	2288369	2303403	-0.097761	-0.084332	-0.044712	-0.028212
CM014757.1	2294599	2315491	-0.126534	-0.108561	-0.047344	-0.033166
CM014757.1	2303452	2323569	-0.015256	-0.019403	-0.007712	-0.005100
CM014757.1	2315643	2329639	0.121278	0.168699	0.069726	0.041450
CM014757.1	2323676	2334764	0.008882	0.014300	0.004156	0.007096
CM014757.1	2329958	2343864	-0.079677	-0.209082	-0.035373	-0.014638
CM014757.1	2334783	2351934	-0.098997	-0.721423	-0.039717	-0.024535
CM014757.1	2343901	2357569	-0.121101	-0.825727	-0.047985	-0.032936
CM014757.1	2351972	2364219	-0.182217	-4.592998	-0.062516	-0.047556
CM014757.1	2357697	2368135	-0.186543	-0.621373	-0.060022	-0.048886
CM014757.1	2364382	2381830	-0.108285	-0.118736	-0.029310	-0.024317
CM014757.1	2368217	2390904	-0.098296	-0.093201	-0.023083	-0.015010
CM014757.1	2381894	2397544	-0.045801	-0.049236	-0.013650	-0.008085
CM014757.1	2390946	2403303	0.050718	0.065516	0.021468	0.013478
CM014757.1	2397559	2410591	0.066128	0.085984	0.029100	0.008406
CM014757.1	2403392	2415871	-0.084719	-0.210297	-0.043524	-0.019444
CM014757.1	2410738	2429460	-0.216025	-0.656725	-0.097226	-0.046581
CM014757.1	2415920	2436399	-0.282590	-1.129091	-0.104613	-0.054060
CM014757.1	2429541	2441848	-0.116511	-0.177342	-0.051019	-0.021536
CM014757.1	2436482	2448360	-0.091714	-0.109600	-0.042441	-0.022427
CM014757.1	2441921	2459314	-0.119867	-0.229999	-0.048180	-0.037836
CM014757.1	2448725	2466105	-0.132468	-0.217333	-0.039786	-0.040645
CM014757.1	2459490	2472677	-0.065958	-0.090658	-0.017129	-0.017391
CM014757.1	2466581	2478408	0.097451	0.125531	0.030781	0.023686
CM014757.1	2472707	2482698	0.100011	0.125641	0.049250	0.023696
CM014757.1	2478481	2489351	0.108430	0.092591	0.047844	0.028909
CM014757.1	2482810	2495646	0.055850	0.037771	0.019181	0.023033
CM014757.1	2489426	2500750	0.071753	0.044316	0.020164	0.023669
CM014757.1	2495671	2507160	0.136717	0.106013	0.047857	0.027146
CM014757.1	2500779	2513040	-0.082949	-0.224142	-0.033163	-0.012146
CM014757.1	2507583	2520263	-0.043959	-0.135132	-0.016734	-0.010590
CM014757.1	2513141	2526086	0.000543	0.001243	0.000226	-0.005310
CM014757.1	2520274	2531792	-0.191718	-10.501218	-0.063776	-0.042279
CM014757.1	2526139	2541934	-0.060720	-0.085278	-0.017307	-0.006541
CM014757.1	2531809	2548432	0.097642	0.087361	0.032992	0.024177
CM014757.1	2541944	2554201	-0.084957	-0.464352	-0.033040	-0.013011
CM014757.1	2548488	2560087	-0.196074	0.646373	-0.064119	-0.026286
CM014757.1	2554260	2564902	-0.102817	0.551634	-0.034656	-0.012101
CM014757.1	2560111	2570448	-0.136708	-0.477071	-0.055576	-0.020843
CM014757.1	2565012	2577175	-0.146127	-0.220966	-0.063955	-0.033232
CM014757.1	2570570	2583792	-0.130358	-0.199641	-0.053207	-0.029810
CM014757.1	2577229	2589356	-0.118897	-0.216319	-0.042915	-0.030314
CM014757.1	2584058	2595425	-0.004664	-0.006164	-0.001719	-0.009906
CM014757.1	2589367	2600921	0.007879	0.010864	0.002455	0.001111
CM014757.1	2595458	2605041	-0.129526	-0.280535	-0.044288	-0.026816
CM014757.1	2601408	2611913	-0.151109	-0.199250	-0.054307	-0.033587
CM014757.1	2605198	2615623	-0.102817	-0.254379	-0.032094	-0.019656
CM014757.1	2612072	2622151	0.011097	0.210627	0.003182	-0.005142
CM014757.1	2615780	2627930	0.126610	0.171540	0.042944	0.024390
CM014757.1	2622164	2634320	0.071261	0.081406	0.028053	0.018491
CM014757.1	2628158	2638438	-0.118873	-0.309765	-0.045392	-0.038232
CM014757.1	2634400	2642122	-0.027727	-0.110339	-0.013876	-0.023707
CM014757.1	2638490	2647359	0.105974	0.152083	0.054658	0.029200
CM014757.1	2642201	2651759	-0.084252	-0.108070	-0.040195	-0.029249
CM014757.1	2647479	2658885	-0.109183	-0.160677	-0.053104	-0.036297
CM014757.1	2651844	2663399	-0.006277	-0.007841	-0.002778	0.000215
CM014757.1	2658929	2668735	-0.096299	-0.084291	-0.042853	-0.016996
CM014757.1	2664263	2674332	-0.113252	-0.114236	-0.048644	-0.033878
CM014757.1	2668740	2679522	-0.022588	-0.034645	-0.010186	-0.006317
CM014757.1	2674383	2687339	-0.065759	-0.073534	-0.025333	-0.013258
CM014757.1	2679542	2691899	-0.047677	-0.053682	-0.017945	-0.007149
CM014757.1	2687363	2706526	0.019438	0.020498	0.008584	0.004414
CM014757.1	2692314	2712806	0.005283	0.005635	0.002133	0.000760
CM014757.1	2706534	2719085	-0.031926	-0.041707	-0.012504	-0.011461
CM014757.1	2712924	2724768	-0.007409	-0.009666	-0.003409	-0.002227
CM014757.1	2719136	2732472	0.135402	0.176130	0.053022	0.038081
CM014757.1	2724873	2738314	0.135358	0.189120	0.047945	0.040479
CM014757.1	2733142	2748734	-0.143370	-0.490345	-0.076992	-0.038252
CM014757.1	2738392	2752644	-0.001046	-0.001594	-0.000506	0.003991
CM014757.1	2748745	2757232	0.090948	0.119541	0.043259	0.024383
CM014757.1	2752718	2760561	-0.025948	-0.086639	-0.011606	-0.005426
CM014757.1	2757246	2767387	0.000238	0.000673	0.000113	-0.001481
CM014757.1	2760607	2774851	-0.096124	-0.226723	-0.048034	-0.025756
CM014757.1	2767460	2780385	-0.042111	-0.082501	-0.018140	-0.008863
CM014757.1	2774868	2798977	0.059463	0.104948	0.019781	0.010154
CM014757.1	2780746	2812954	-0.011883	-0.017470	-0.003459	-0.002713
CM014757.1	2798993	2827005	-0.121104	-0.189916	-0.040533	-0.020235
CM014757.1	2813001	2833566	-0.198377	-0.356750	-0.076760	-0.037708
CM014757.1	2827154	2839986	-0.085507	-0.098377	-0.035543	-0.022377
CM014757.1	2833576	2847233	0.066572	0.071820	0.021855	0.013901
CM014757.1	2840130	2855324	0.065183	0.074011	0.024163	0.015740
CM014757.1	2847272	2863435	0.047298	0.059857	0.017767	0.014980
CM014757.1	2855579	2873263	0.133391	0.149446	0.049705	0.032557
CM014757.1	2863481	2884522	0.167678	0.136298	0.086125	0.045056
CM014757.1	2873278	2888305	-0.107899	-0.120656	-0.070785	-0.036041
CM014757.1	2884534	2893237	-0.161376	-0.235702	-0.110694	-0.045501
CM014757.1	2888319	2897800	-0.066498	-0.155458	-0.032950	-0.006137
CM014757.1	2893272	2906662	-0.017966	-0.024306	-0.007748	-0.003079
CM014757.1	2897827	2917083	-0.000868	-0.000860	-0.000388	-0.006007
CM014757.1	2906869	2923946	-0.041871	-0.062621	-0.016997	-0.008734
CM014757.1	2917168	2930407	0.047991	0.074119	0.023435	0.013390
CM014757.1	2924045	2935909	0.056393	0.064496	0.031772	0.016170
CM014757.1	2930796	2944457	-0.008582	-0.006442	-0.003264	-0.004199
CM014757.1	2935962	2955256	-0.017899	-0.014118	-0.006383	-0.006212
CM014757.1	2944510	2959924	0.033853	0.069929	0.015550	0.003853
CM014757.1	2955314	2965185	-0.114473	-0.428889	-0.044031	-0.026140
CM014757.1	2959957	2973035	-0.198696	-0.763842	-0.067224	-0.050168
CM014757.1	2965307	2979592	0.046248	0.085188	0.018620	0.016489
CM014757.1	2973055	2986907	0.021944	0.027289	0.007765	0.007264
CM014757.1	2979686	3001045	-0.138086	-0.208609	-0.050431	-0.028213
CM014757.1	2987058	3040933	0.073800	0.055776	0.029696	0.025638
CM014757.1	3001122	3048247	0.060267	0.041449	0.022566	0.015042
