chr	windowStart	windowEnd	D	f_d	f_dM	d_f
CM014754.1	1211480	1228268	0.052805	0.086643	0.035733	0.024527
CM014754.1	1224534	1231503	0.010136	0.020005	0.006199	0.002733
CM014754.1	1228339	1239708	-0.037348	-0.112859	-0.015716	-0.008680
CM014754.1	1231542	1247054	-0.073062	-0.265510	-0.032445	-0.015477
CM014754.1	1239756	1252867	-0.153987	-0.409538	-0.088024	-0.038487
CM014754.1	1247072	1257814	-0.080544	-0.109786	-0.044312	-0.027954
CM014754.1	1253008	1266877	0.021571	0.023343	0.013409	-0.001806
CM014754.1	1258037	1272868	0.065846	0.072626	0.040063	0.009823
CM014754.1	1266992	1278553	0.075087	0.097554	0.052083	0.015768
CM014754.1	1272879	1284304	0.045974	0.069356	0.039847	0.011226
CM014754.1	1278688	1292028	0.019480	0.026868	0.014859	-0.000646
CM014754.1	1284329	1300539	0.057525	0.078023	0.035235	0.014553
CM014754.1	1292123	1306040	-0.060448	-0.162254	-0.025244	-0.019521
CM014754.1	1300775	1315109	-0.521796	2.007177	-0.228413	-0.139146
CM014754.1	1306129	1327988	-0.485394	1.149649	-0.223269	-0.129911
CM014754.1	1315132	1331632	-0.106821	4.571592	-0.057088	-0.017710
CM014754.1	1328002	1338845	0.188213	0.201828	0.118948	0.049771
CM014754.1	1332470	1345529	0.166186	0.210571	0.097411	0.050268
CM014754.1	1338899	1350703	0.149554	0.225706	0.104421	0.063043
CM014754.1	1345642	1356330	0.138773	0.172495	0.097312	0.057526
CM014754.1	1351013	1366105	-0.042290	-0.057947	-0.023383	-0.006667
CM014754.1	1356366	1372035	-0.158795	-0.243216	-0.067390	-0.036044
CM014754.1	1366128	1379300	-0.024567	-0.028086	-0.009121	-0.007253
CM014754.1	1372044	1384789	0.000066	0.000081	0.000029	0.002213
CM014754.1	1379341	1388737	-0.017763	-0.027136	-0.009592	-0.003261
CM014754.1	1384954	1398585	0.183252	0.126092	0.070180	0.046531
CM014754.1	1388755	1406043	-0.009150	-0.006828	-0.004055	-0.007180
CM014754.1	1398660	1411764	-0.119126	-0.113735	-0.068289	-0.033747
CM014754.1	1406299	1416639	0.002359	0.002725	0.001532	0.000867
CM014754.1	1411792	1421469	0.179828	0.212850	0.120081	0.033860
CM014754.1	1416690	1426761	0.137954	0.165322	0.078879	0.036551
CM014754.1	1421503	1429968	0.196446	0.196205	0.115243	0.058571
CM014754.1	1426887	1433702	0.197209	0.192932	0.132985	0.045195
CM014754.1	1429982	1436372	0.033992	0.061961	0.028595	0.009754
CM014754.1	1433804	1439373	0.055698	0.123431	0.036052	0.010586
CM014754.1	1436414	1444781	-0.052181	-0.050610	-0.018105	-0.010069
CM014754.1	1439549	1449053	-0.092784	-0.123915	-0.036339	-0.021602
CM014754.1	1444880	1453081	-0.048885	-0.163184	-0.033473	-0.012587
CM014754.1	1449082	1458844	-0.005497	-0.010671	-0.005453	0.000984
CM014754.1	1453098	1464901	-0.018324	-0.060291	-0.023564	-0.009597
CM014754.1	1458862	1473375	0.004844	0.011300	0.004697	0.004235
CM014754.1	1464912	1476587	-0.011524	-0.019998	-0.008131	0.001020
CM014754.1	1473444	1481577	0.011246	0.011374	0.006426	0.004934
CM014754.1	1476689	1484777	0.006334	0.003992	0.002890	0.001688
CM014754.1	1481583	1490407	-0.044783	-0.034007	-0.020063	-0.009352
CM014754.1	1486248	1498636	-0.121919	-0.108965	-0.043841	-0.013610
CM014754.1	1490413	1505718	-0.024223	-0.019068	-0.009569	-0.002645
CM014754.1	1498920	1507365	0.137692	0.131734	0.082512	0.026066
CM014754.1	1505742	1513473	-0.049700	-0.215683	-0.020667	-0.007586
CM014754.1	1507423	1519488	0.028520	0.042278	0.011840	0.003033
CM014754.1	1513517	1528842	0.086560	0.073693	0.035307	0.020771
CM014754.1	1519629	1532624	-0.033204	-0.052917	-0.016030	-0.008830
CM014754.1	1529049	1544105	0.079249	0.161568	0.073666	0.031990
CM014754.1	1532650	1564911	-0.051049	-0.100840	-0.034483	-0.008818
CM014754.1	1544120	1594972	-0.022800	-0.032024	-0.012738	0.009381
CM014754.1	1565111	1610054	0.146515	0.143657	0.080451	0.075268
CM014754.1	1594994	1626039	0.265241	0.247382	0.116400	0.110709
CM014754.1	1610247	1646623	0.145229	0.169267	0.048651	0.034773
CM014754.1	1626871	1653359	-0.217053	-1.041970	-0.084928	-0.044359
CM014754.1	1646635	1656482	-0.024283	-0.158686	-0.015304	-0.001521
CM014754.1	1653431	1660461	0.323497	0.475877	0.268355	0.173085
CM014754.1	1656643	1665896	0.199198	0.265781	0.147947	0.086096
CM014754.1	1660581	1672135	0.100492	0.087540	0.048903	0.029475
CM014754.1	1665906	1675604	0.070973	0.067251	0.037158	0.021948
CM014754.1	1672245	1679292	-0.118766	-0.256381	-0.070890	-0.050748
CM014754.1	1675711	1687731	-0.149838	-0.290214	-0.084155	-0.057367
CM014754.1	1679350	1693827	-0.034961	-0.045014	-0.019643	-0.004466
CM014754.1	1687760	1699392	-0.010254	-0.018316	-0.008866	-0.003437
CM014754.1	1693842	1705828	-0.021748	-0.056441	-0.025387	-0.013690
CM014754.1	1699409	1719406	0.055119	0.069751	0.023417	0.029378
CM014754.1	1705854	1724698	0.099091	0.130872	0.033368	0.036224
CM014754.1	1719445	1729913	0.038083	0.093072	0.019455	0.010681
CM014754.1	1724738	1731989	0.121113	0.170411	0.068831	0.037398
CM014754.1	1730000	1746146	0.199291	0.192630	0.125219	0.069645
CM014754.1	1732436	1749306	-0.015766	-0.021231	-0.011366	0.003000
CM014754.1	1746218	1752979	-0.032356	-0.044950	-0.019927	-0.010169
CM014754.1	1749472	1757583	0.122670	0.143200	0.077291	0.025007
CM014754.1	1753062	1762023	0.004337	0.006668	0.003204	-0.001952
CM014754.1	1757624	1765345	0.051103	0.062809	0.032935	0.028722
CM014754.1	1762107	1768544	0.171341	0.221087	0.139128	0.094057
CM014754.1	1765414	1771611	0.080034	0.191321	0.110452	0.040438
CM014754.1	1768640	1774621	-0.029508	-0.106866	-0.042125	-0.011504
CM014754.1	1771626	1778506	-0.084448	-0.325231	-0.108273	-0.034986
CM014754.1	1774651	1786747	-0.010540	-0.018334	-0.010434	-0.000801
CM014754.1	1778516	1791672	0.082383	0.123983	0.078834	0.035646
CM014754.1	1786992	1796975	0.129503	0.186762	0.124744	0.045404
CM014754.1	1791691	1799561	0.047801	0.063914	0.044407	0.020597
CM014754.1	1797028	1804760	-0.045103	-0.083140	-0.047827	-0.013763
CM014754.1	1799611	1851087	-0.010104	-0.020207	-0.011263	-0.007124
CM014754.1	1806636	1864244	0.006969	0.011780	0.007245	-0.001251
CM014754.1	1851126	1881354	0.032797	0.056208	0.031287	0.014872
CM014754.1	1864331	1887401	0.063522	0.117298	0.059550	0.022120
CM014754.1	1881440	1889431	0.124076	0.206428	0.120687	0.049935
CM014754.1	1887433	1891995	0.117241	0.213160	0.123259	0.059459
CM014754.1	1889438	1896711	0.062176	0.105494	0.051575	0.029156
CM014754.1	1892010	1903177	0.013167	0.021401	0.007948	0.000505
CM014754.1	1897402	1912894	0.037836	0.053859	0.019471	0.009999
CM014754.1	1903188	1919100	-0.058148	-0.130935	-0.038055	-0.018342
CM014754.1	1912958	1925013	-0.039843	-0.116263	-0.024719	-0.014768
CM014754.1	1919117	1930699	-0.032689	-0.063200	-0.018704	-0.014703
CM014754.1	1925045	1936656	-0.111032	-0.273083	-0.078387	-0.042193
CM014754.1	1930726	1939403	-0.105156	-0.679381	-0.047938	-0.038872
CM014754.1	1936676	1947709	0.026065	0.047803	0.009878	0.002086
CM014754.1	1939446	1954475	0.284085	0.312196	0.111848	0.104103
CM014754.1	1947780	1959016	0.261977	0.416073	0.150967	0.081433
CM014754.1	1954671	1970904	0.109517	0.249253	0.105612	0.027744
CM014754.1	1959129	1986656	0.042486	0.118217	0.048626	0.019549
CM014754.1	1971024	1992409	0.071961	0.139416	0.087055	0.028979
CM014754.1	1986666	1997312	0.018053	0.025977	0.015265	-0.002474
CM014754.1	1992441	2008563	0.010415	0.011885	0.006828	-0.000624
CM014754.1	1997322	2013209	0.158763	0.166779	0.106124	0.069041
CM014754.1	2008589	2017579	0.201740	0.198451	0.118429	0.077721
CM014754.1	2013367	2026238	0.088857	0.093950	0.040109	0.028042
CM014754.1	2017645	2029591	-0.144132	-0.642540	-0.056306	-0.037659
CM014754.1	2026250	2034378	-0.247899	-1.584526	-0.086088	-0.067350
CM014754.1	2029678	2038471	-0.240382	-0.387993	-0.078473	-0.092811
CM014754.1	2034915	2047346	-0.090815	-0.108349	-0.034441	-0.037011
CM014754.1	2038506	2055628	0.078548	0.169513	0.029904	0.030766
CM014754.1	2047416	2060448	-0.046613	0.868424	-0.019922	-0.010923
CM014754.1	2055642	2067650	-0.086759	-0.362076	-0.059501	-0.023764
CM014754.1	2060463	2078522	0.018051	0.029724	0.009223	0.012565
CM014754.1	2067677	2091653	0.024160	0.032476	0.009910	0.010794
CM014754.1	2078586	2100680	-0.001636	-0.001812	-0.000690	-0.003490
CM014754.1	2091664	2108254	0.060417	0.068217	0.031847	0.012788
CM014754.1	2100952	2115595	0.005726	0.009708	0.003404	-0.000322
CM014754.1	2109400	2120869	-0.021794	-0.025554	-0.012323	-0.008214
CM014754.1	2115620	2126416	0.079682	0.115183	0.047613	0.020105
CM014754.1	2120877	2131524	0.018240	0.052960	0.009607	-0.003615
CM014754.1	2126457	2135724	0.012577	0.026077	0.005707	-0.007384
CM014754.1	2131557	2141927	0.179670	0.224067	0.124924	0.059445
CM014754.1	2136414	2148650	0.082822	0.154611	0.057317	0.023272
CM014754.1	2141952	2154045	-0.043906	-0.056659	-0.020380	-0.013950
CM014754.1	2149085	2160841	-0.081936	-0.082810	-0.036801	-0.023907
CM014754.1	2154077	2167591	-0.213171	-0.210170	-0.080505	-0.047229
CM014754.1	2161084	2183437	-0.142910	-0.172928	-0.062843	-0.035128
CM014754.1	2167673	2228529	-0.000591	-0.000707	-0.000212	0.003100
CM014754.1	2183449	2243858	-0.024409	-0.014562	-0.005928	0.000218
CM014754.1	2229137	2256864	-0.019516	-0.013218	-0.005488	0.003762
CM014754.1	2243932	2262476	0.106445	0.109865	0.038331	0.026600
CM014754.1	2256975	2267990	-0.021909	-0.043114	-0.011067	-0.000495
CM014754.1	2262624	2275604	-0.004407	-0.009583	-0.002416	0.003278
CM014754.1	2268093	2285649	0.004685	0.008509	0.001597	0.009930
CM014754.1	2275654	2292839	0.077609	0.119385	0.026406	0.028145
CM014754.1	2285735	2300040	0.063116	0.074400	0.025532	0.011961
CM014754.1	2292886	2304790	-0.115105	-0.142634	-0.056854	-0.023235
CM014754.1	2300196	2310953	0.032731	0.035772	0.019015	0.001084
CM014754.1	2304964	2315903	0.043229	0.055396	0.023963	-0.004244
CM014754.1	2311006	2320419	-0.053444	-0.154785	-0.026754	-0.019057
CM014754.1	2315920	2327909	-0.040936	-0.239722	-0.023487	-0.009487
CM014754.1	2320442	2331332	-0.115158	-0.336717	-0.073461	-0.033386
CM014754.1	2327993	2336099	-0.144997	-0.451536	-0.065553	-0.036415
CM014754.1	2331424	2342240	-0.119454	-0.663677	-0.063430	-0.042470
CM014754.1	2336148	2348180	-0.052857	-0.231777	-0.033456	-0.022420
CM014754.1	2342255	2358569	0.020567	0.088307	0.013999	0.014026
CM014754.1	2348191	2373440	-0.014407	-0.055215	-0.014618	-0.003828
CM014754.1	2358648	2377015	-0.164846	-0.434673	-0.134324	-0.075055
CM014754.1	2373507	2381120	-0.133159	-0.238686	-0.079054	-0.066349
CM014754.1	2377071	2428121	0.022013	0.032715	0.014077	0.005228
CM014754.1	2381122	2441888	0.004980	0.008292	0.004592	0.004013
CM014754.1	2428147	2475244	-0.022308	-0.046620	-0.025515	-0.011724
CM014754.1	2441901	2478841	-0.050763	-0.096103	-0.049401	-0.017619
CM014754.1	2475304	2485417	0.023332	0.028843	0.016188	0.011882
CM014754.1	2478850	2503760	0.034425	0.056284	0.024949	0.009447
CM014754.1	2485495	2508102	-0.018213	-0.035270	-0.011378	-0.004838
CM014754.1	2503777	2511615	0.026833	0.056306	0.013108	0.004836
CM014754.1	2508125	2515980	0.336134	0.383869	0.139569	0.113093
CM014754.1	2511651	2519470	0.240324	0.325455	0.088910	0.072673
CM014754.1	2516262	2522577	0.038943	0.113331	0.016222	0.008374
CM014754.1	2519482	2528480	0.083326	0.125421	0.040241	0.023138
CM014754.1	2522634	2532189	0.051610	0.059161	0.021606	0.011601
CM014754.1	2528496	2536246	0.274583	0.244908	0.125998	0.067913
CM014754.1	2532386	2540217	0.173187	0.233617	0.087397	0.043123
CM014754.1	2536326	2545218	-0.203805	-1.905444	-0.104410	-0.057562
CM014754.1	2540228	2553017	-0.272324	-2.065791	-0.137818	-0.068361
CM014754.1	2545241	2561073	-0.126803	-0.181115	-0.044408	-0.021297
CM014754.1	2553072	2566784	-0.038212	-0.048305	-0.013342	-0.008350
CM014754.1	2561257	2570875	-0.084352	-0.208885	-0.043628	-0.023116
CM014754.1	2566798	2574802	-0.008397	-0.017222	-0.004394	-0.003415
CM014754.1	2570954	2582279	0.109421	0.151921	0.047983	0.021100
CM014754.1	2574842	2590271	0.106810	0.138969	0.045500	0.022499
CM014754.1	2582333	2593425	0.030445	0.046580	0.015864	0.004371
CM014754.1	2590288	2601571	0.066998	0.097225	0.044618	0.017764
CM014754.1	2593517	2607645	0.085849	0.145688	0.059048	0.029466
CM014754.1	2602578	2618253	0.021508	0.038547	0.012587	0.005438
CM014754.1	2607654	2623804	-0.121478	-0.245948	-0.054977	-0.033564
CM014754.1	2618535	2629725	-0.054174	-0.085055	-0.025865	-0.014579
CM014754.1	2623851	2638110	0.143840	0.107783	0.054979	0.045409
CM014754.1	2629766	2644033	0.242199	0.099750	0.067884	0.064783
CM014754.1	2638263	2647678	0.114383	0.046540	0.031394	0.027491
CM014754.1	2644277	2652411	-0.139680	-0.166240	-0.051570	-0.020331
CM014754.1	2647827	2657265	-0.035993	-0.045918	-0.016228	-0.003441
CM014754.1	2652511	2666446	0.041819	0.042871	0.022232	0.010937
CM014754.1	2657296	2670972	0.066513	0.067993	0.041843	0.019968
CM014754.1	2666581	2675384	0.102954	0.080864	0.050743	0.028795
CM014754.1	2671089	2681397	0.010628	0.007299	0.004512	0.003247
CM014754.1	2675404	2690846	-0.107659	-0.091669	-0.046030	-0.027328
CM014754.1	2681568	2700975	-0.179614	-0.143093	-0.061711	-0.043667
CM014754.1	2691011	2708509	-0.186673	-0.188462	-0.048879	-0.029269
CM014754.1	2701059	2717036	-0.135125	-0.180886	-0.040348	-0.018483
CM014754.1	2708530	2723665	-0.031481	-0.042851	-0.015811	-0.004488
CM014754.1	2717417	2730254	-0.026647	-0.031856	-0.012899	-0.008984
CM014754.1	2723864	2734579	0.066124	0.076775	0.034454	0.012752
CM014754.1	2730265	2740840	0.288661	0.362265	0.141083	0.089444
CM014754.1	2734677	2747156	0.186571	0.303069	0.078350	0.052907
CM014754.1	2740866	2755628	-0.047194	-0.183267	-0.017311	-0.007978
CM014754.1	2747266	2760554	0.098480	0.132932	0.030518	0.022263
CM014754.1	2755716	2767468	0.009148	0.012281	0.004503	0.008118
CM014754.1	2760579	2772703	-0.028642	-0.049089	-0.017558	-0.005622
CM014754.1	2767495	2776522	0.069662	0.142724	0.047029	0.024078
CM014754.1	2772752	2784328	0.007801	0.014434	0.005388	0.004656
CM014754.1	2776746	2789435	0.065762	0.083654	0.034442	0.025629
CM014754.1	2784860	2795047	0.193296	0.243382	0.096486	0.057882
CM014754.1	2789454	2799013	0.098411	0.110599	0.051704	0.027604
CM014754.1	2795151	2803858	-0.006201	-0.006017	-0.003119	0.001636
CM014754.1	2799129	2809530	-0.110836	-0.155712	-0.053936	-0.018047
CM014754.1	2804019	2813560	-0.292846	-1.292479	-0.128354	-0.053067
CM014754.1	2809639	2816728	-0.149858	-0.441156	-0.079268	-0.040318
CM014754.1	2813798	2823460	0.121485	0.177241	0.067425	0.021231
CM014754.1	2816755	2830807	0.131091	0.224394	0.049395	0.020466
CM014754.1	2823514	2836091	-0.039393	-0.097983	-0.015749	-0.010322
CM014754.1	2830980	2841438	0.099373	0.127348	0.049929	0.025332
CM014754.1	2836163	2845626	0.271963	0.226992	0.132748	0.075041
CM014754.1	2841475	2852397	0.133939	0.170506	0.062619	0.027441
CM014754.1	2846031	2859536	-0.041204	-0.073822	-0.019423	-0.012358
CM014754.1	2852440	2866221	-0.179169	-0.318988	-0.091458	-0.041927
CM014754.1	2859553	2873481	-0.051570	-0.075899	-0.029628	-0.011393
CM014754.1	2866327	2882853	0.151204	0.168697	0.092053	0.041866
CM014754.1	2873485	2898306	0.095190	0.102133	0.045519	0.026941
CM014754.1	2882925	2904097	0.072513	0.090717	0.028341	0.017239
CM014754.1	2898747	2911056	0.139103	0.154569	0.043071	0.021547
CM014754.1	2904302	2918425	0.000408	0.000567	0.000142	0.002786
CM014754.1	2911072	2925525	-0.095107	-0.198651	-0.048751	-0.017325
CM014754.1	2918455	2929381	-0.022361	-0.027398	-0.010584	-0.002073
CM014754.1	2925720	2936243	0.041562	0.035040	0.014767	0.009421
CM014754.1	2929404	2942736	-0.003990	-0.004184	-0.001239	-0.000697
CM014754.1	2936496	2977733	-0.124281	-0.169032	-0.039967	-0.022104
CM014754.1	2942826	2985555	0.035971	0.035568	0.015145	0.009925
CM014754.1	2977836	2992221	0.234646	0.225978	0.102440	0.052118
CM014754.1	2985666	2998398	0.148654	0.158917	0.062884	0.030649
CM014754.1	2992491	3003022	0.097858	0.124312	0.060793	0.028206
CM014754.1	2998410	3014616	0.137048	0.159943	0.083197	0.035017
CM014754.1	3003547	3024259	0.018658	0.032186	0.008865	0.000962
CM014754.1	3015065	3030416	-0.147911	-0.257543	-0.046941	-0.035776
CM014754.1	3024279	3043177	-0.160809	-0.279940	-0.044484	-0.032870
CM014754.1	3030427	3076367	0.065810	0.122107	0.026245	0.011212
CM014754.1	3069920	3080895	0.006579	0.009602	0.003723	0.001749
CM014754.1	3076388	3086834	-0.031958	-0.064984	-0.018469	-0.005579
CM014754.1	3080910	3094058	0.084393	0.111741	0.044968	0.023222
CM014754.1	3086846	3103068	0.110325	0.095062	0.037330	0.023308
CM014754.1	3094134	3109682	-0.007390	-0.009091	-0.002177	0.001635
CM014754.1	3103130	3119506	-0.034786	-0.055280	-0.017925	-0.003227
CM014754.1	3109705	3127044	0.025213	0.034570	0.017303	0.012603
CM014754.1	3120007	3134851	-0.026632	-0.069286	-0.014087	-0.003387
CM014754.1	3127103	3145104	-0.043333	-0.110475	-0.016596	-0.007196
CM014754.1	3134866	3152327	-0.051322	-0.059403	-0.020251	-0.013021
CM014754.1	3145117	3162782	-0.005359	-0.007995	-0.003130	-0.006197
CM014754.1	3152376	3170576	-0.073669	-0.186426	-0.045698	-0.030177
CM014754.1	3162865	3176614	-0.085672	-0.153071	-0.036349	-0.023645
CM014754.1	3170639	3181439	0.046129	0.045233	0.015400	0.009213
CM014754.1	3177553	3188411	0.037441	0.042993	0.016525	0.003141
CM014754.1	3181481	3191174	-0.009088	-0.016493	-0.005746	-0.003224
CM014754.1	3188415	3193809	-0.029613	-0.057013	-0.017961	-0.001095
CM014754.1	3191264	3203917	-0.027037	-0.029224	-0.008975	-0.001726
CM014754.1	3193916	3220631	0.048058	0.052651	0.016064	0.013591
CM014754.1	3205386	3225856	0.060527	0.102670	0.024913	0.025799
CM014754.1	3220660	3233915	0.006510	0.015173	0.002886	0.003112
CM014754.1	3225882	3240462	0.052503	0.113151	0.027384	0.011141
CM014754.1	3234057	3248428	0.024732	0.063739	0.012622	0.005972
CM014754.1	3240684	3256509	0.074716	0.163785	0.042501	0.018124
CM014754.1	3248440	3264687	-0.015588	-0.025616	-0.008423	-0.004214
CM014754.1	3256560	3271163	-0.072124	-0.139093	-0.034554	-0.014499
CM014754.1	3264728	3277396	-0.005459	-0.015687	-0.003428	0.004445
